date,city,temperature,humidity,wind_speed,cloudiness,description
2023-02-23,"Rosario, Batangas",24.35,70,0.94,100,light rain
2023-02-23,"Rosario, Batangas",24.55,68,0.79,100,light rain
2023-02-23,"Rosario, Batangas",29.15,44,1.31,41,scattered clouds
2023-02-24,"Rosario, Batangas",24.58,50,1.24,6,clear sky
2023-02-24,"Rosario, Batangas",22.37,58,1.18,13,few clouds
2023-02-24,"Rosario, Batangas",20.88,61,1.76,24,few clouds
2023-02-24,"Rosario, Batangas",18.6,75,0.19,21,light rain
2023-02-24,"Rosario, Batangas",25.34,48,0.81,26,scattered clouds
2023-02-24,"Rosario, Batangas",33.99,26,1.01,0,clear sky
2023-02-24,"Rosario, Batangas",36.16,21,0.82,9,clear sky
2023-02-24,"Rosario, Batangas",33.02,26,1.05,91,overcast clouds
2023-02-25,"Rosario, Batangas",24.52,52,2.67,65,light rain
2023-02-25,"Rosario, Batangas",18.18,91,3.4,62,light rain
2023-02-25,"Rosario, Batangas",19.21,89,2.31,76,broken clouds
2023-02-25,"Rosario, Batangas",18.9,93,1.23,33,scattered clouds
2023-02-25,"Rosario, Batangas",23.69,67,2.04,19,few clouds
2023-02-25,"Rosario, Batangas",32.77,31,2.6,0,clear sky
2023-02-25,"Rosario, Batangas",37.69,18,2.46,0,clear sky
2023-02-25,"Rosario, Batangas",36.54,18,5.71,13,few clouds
2023-02-26,"Rosario, Batangas",26.13,41,1.25,55,broken clouds
2023-02-26,"Rosario, Batangas",24.67,42,1.12,100,overcast clouds
2023-02-26,"Rosario, Batangas",21.44,48,1.53,80,broken clouds
2023-02-26,"Rosario, Batangas",19.24,54,2.58,7,clear sky
2023-02-26,"Rosario, Batangas",24.55,46,3.23,4,clear sky
2023-02-26,"Rosario, Batangas",32.96,25,4.32,0,clear sky
2023-02-26,"Rosario, Batangas",36.4,15,3.81,2,clear sky
2023-02-26,"Rosario, Batangas",35.29,13,3.96,1,clear sky
2023-02-27,"Rosario, Batangas",26.38,22,3.04,1,clear sky
2023-02-27,"Rosario, Batangas",22.82,41,3.58,1,clear sky
2023-02-27,"Rosario, Batangas",20.13,52,3.01,25,scattered clouds
2023-02-27,"Rosario, Batangas",17.68,62,2.63,55,broken clouds
2023-02-27,"Rosario, Batangas",21.3,53,3.44,75,broken clouds
2023-02-27,"Rosario, Batangas",31.31,31,3.0,45,scattered clouds
2023-02-27,"Rosario, Batangas",36.85,17,2.39,26,scattered clouds
2023-02-27,"Rosario, Batangas",36.49,17,2.26,4,clear sky
2023-02-28,"Rosario, Batangas",27.86,30,2.76,2,clear sky
2023-02-28,"Rosario, Batangas",24.05,46,2.44,0,clear sky
2023-02-28,"Rosario, Batangas",21.63,60,2.08,0,clear sky
2023-02-28,"Rosario, Batangas",20.31,70,1.62,0,clear sky
2023-02-28,"Rosario, Batangas",26.25,57,3.1,0,clear sky
